,0
0,GeneSymbol
1,?
2,?
3,?
4,?
5,?
6,?
7,?
8,?
9,?
10,?
11,?
12,?
13,?
14,?
15,?
16,?
17,?
18,?
19,?
20,?
21,?
22,?
23,?
24,?
25,?
26,?
27,?
28,?
29,A1BG
30,A1CF
31,RBFOX1
32,GGACT
33,A2ML1
34,A2M
35,A4GALT
36,A4GNT
37,NPSR1-AS1
38,AAAS
39,AACSP1
40,AACS
41,AADACL2
42,AADACL3
43,AADACL4
44,AADAC
45,AADAT
46,AAGAB
47,AAK1
48,AAMP
49,AANAT
50,AARS2
51,AARSD1
52,AARS
53,AASDHPPT
54,AASDH
55,AASS
56,AATF
57,AATK
58,ABAT
59,ABCA10
60,ABCA11P
61,ABCA12
62,ABCA13
63,ABCA17P
64,ABCA1
65,ABCA2
66,ABCA3
67,ABCA4
68,ABCA5
69,ABCA6
70,ABCA7
71,ABCA8
72,ABCA9
73,ABCB10
74,ABCB11
75,ABCB1
76,ABCB4
77,ABCB5
78,ABCB6
79,ABCB7
80,ABCB8
81,ABCB9
82,ABCC10
83,ABCC11
84,ABCC12
85,ABCC13
86,ABCC1
87,ABCC2
88,ABCC3
89,ABCC4
90,ABCC5
91,ABCC6P1
92,ABCC6P2
93,ABCC6
94,ABCC8
95,ABCC9
96,ABCD1
97,ABCD2
98,ABCD3
99,ABCD4
100,ABCE1
101,ABCF1
102,ABCF2
103,ABCF3
104,ABCG1
105,ABCG2
106,ABCG4
107,ABCG5
108,ABCG8
109,ABHD10
110,ABHD11
111,ABHD12B
112,ABHD12
113,ABHD13
114,ABHD14A
115,ABHD14B
116,ABHD15
117,ABHD1
118,ABHD2
119,ABHD3
120,ABHD4
121,ABHD5
122,ABHD6
123,ABHD8
124,ABI1
125,ABI2
126,ABI3BP
127,ABI3
128,ABL1
129,ABL2
130,ABLIM1
131,ABLIM2
132,ABLIM3
133,ABO
134,DBNL___AOC1
135,ABRA
136,ABR
137,ABT1
138,ABTB1
139,ABTB2
140,ACAA1
141,ACAA2
142,ACACA
143,ACACB
144,ACAD10
145,ACAD11
146,ACAD8
147,ACAD9
148,ACADL
149,ACADM
150,ACADSB
151,ACADS
152,ACADVL
153,ACAN
154,ACAP1
155,ACAP2
156,ACAP3
157,ACAT1
158,ACAT2
159,ACBD3
160,ACBD4
161,ACBD5
162,ACBD6
163,ACBD7
164,ASIC2
165,ASIC1
166,ASIC3
167,ASIC4
168,ASIC5
169,ACCSL
170,ACCS
171,ACD
172,ACE2
173,ACER1
174,ACER2
175,ACER3
176,ACE
177,ACHE
178,ACIN1
179,ACLY
180,ACMSD
181,SDHAF3
182,ACO1
183,ACO2
184,ACOT11
185,ACOT12
186,ACOT13
187,ACOT1
188,ACOT2
189,ACOT4
190,ACOT6
191,ACOT7
192,ACOT8
193,ACOT9
194,ACOX1
195,ACOX2
196,ACOX3
197,ACOXL
198,ACP1
199,ACP2
200,ACP5
201,ACP6
202,PXYLP1
203,ACPP
204,ACP4
205,ACRBP
206,GCNA
207,ACRV1
208,ACR
209,ACSBG1
210,ACSBG2
211,ACSF2
212,ACSF3
213,ACSL1
214,ACSL3
215,ACSL4
216,ACSL5
217,ACSL6
218,ACSM1
219,ACSM2A
220,ACSM2B
221,ACSM3
222,ACSM4
223,ACSM5
224,ACSS1
225,ACSS2
226,ACSS3
227,ACTA1
228,ACTA2
229,ACTBL2
230,ACTB
231,ACTC1
232,ACTG1
233,ACTG2
234,ACTL6A
235,ACTL6B
236,ACTL7A
237,ACTL7B
238,ACTL8
239,ACTL9
240,ACTN1
241,ACTN2
242,ACTN3
243,ACTN4
244,ACTR10
245,ACTR1A
246,ACTR1B
247,ACTR2
248,ACTR3B
249,ACTR3C
250,ACTR3
251,ACTR5
252,ACTR6
253,ACTR8
254,ACTRT1
255,ACTRT2
256,ACVR1B
257,ACVR1C
258,ACVR1
259,ACVR2A
260,ACVR2B
261,ACVRL1
262,ACY1
263,ACY3
264,ACYP1
265,ACYP2
266,ADAD1
267,ADAD2
268,ADAL
269,ADAM10
270,ADAM11
271,ADAM12
272,ADAM15
273,ADAM17
274,ADAM18
275,ADAM19
276,ADAM20
277,ADAM21P1
278,ADAM21
279,ADAM22
280,ADAM23
281,ADAM28
282,ADAM29
283,ADAM2
284,ADAM30
285,ADAM32
286,ADAM33
287,ADAM3A
288,ADAM5
289,ADAM6
290,ADAM7
291,ADAM8
292,ADAM9
293,ADAMDEC1
294,ADAMTS10
295,ADAMTS12
296,ADAMTS13
297,ADAMTS14
298,ADAMTS15
299,ADAMTS16
300,ADAMTS17
301,ADAMTS18
302,ADAMTS19
303,ADAMTS1
304,ADAMTS20
305,ADAMTS2
306,ADAMTS3
307,ADAMTS4
308,ADAMTS5
309,ADAMTS6
310,ADAMTS7
311,ADAMTS8
312,ADAMTS9
313,ADAMTSL1
314,ADAMTSL2
315,ADAMTSL3
316,ADAMTSL4
317,ADAMTSL5
318,ADAP1
319,ADAP2
320,ADARB1
321,ADARB2
322,ADAR
323,ADAT1
324,ADAT2
325,ADAT3
326,ADA
327,ADCK1
328,ADCK2
329,COQ8B
330,ADCK5
331,ADCY10
332,ADCY1
333,ADCY2
334,ADCY3
335,ADCY4
336,ADCY5
337,ADCY6
338,ADCY7
339,ADCY8
340,ADCY9
341,ADCYAP1R1
342,ADCYAP1
343,AZIN2
344,ADD1
345,ADD2
346,ADD3
347,ADH1A
348,ADH1B
349,ADH1C
350,ADH4
351,ADH5
352,ADH6
353,ADH7
354,ADHFE1
355,ADI1
356,ADIG
357,ADIPOQ
358,ADIPOR1
359,ADIPOR2
360,ADK
361,ADM2
362,ADM
363,ADNP2
364,ADNP
365,ADORA1
366,ADORA2A
367,ADORA2B
368,ADORA3
369,ADO
370,ADPGK
371,ADPRHL1
372,ADPRHL2
373,ADPRH
374,ADRA1A
375,ADRA1B
376,ADRA1D
377,ADRA2A
378,ADRA2B
379,ADRA2C
380,ADRB1
381,ADRB2
382,ADRB3
383,GRK2
384,GRK3
385,ADRM1
386,ADSL
387,ADSSL1
388,ADSS
389,AEBP1
390,AEBP2
391,AEN
392,AES
393,AFAP1L1
394,AFAP1L2
395,AFAP1
396,AKR7A2P1
397,AFF1
398,AFF2
399,AFF3
400,AFF4
401,AFG3L1P
402,AFG3L2
403,AFMID
404,AFM
405,AFP
406,AFTPH
407,AGR2___C11orf96
408,AGAP11
409,AGAP1
410,AGAP2
411,AGAP3
412,AGAP4
413,AGAP5
414,AGAP6
415,AGAP7P
416,AGAP4
417,AGA
418,AGBL1
419,AGBL2
420,AGBL3
421,AGBL4
422,AGBL5
423,AGER
424,AGFG1
425,AGFG2
426,AGGF1
427,AGK
428,AGL
429,AGMAT
430,AGPAT1
431,AGPAT2
432,AGPAT3
433,AGPAT4
434,AGPAT5
435,GPAT4
436,LPCAT1___GPAT3
437,HYKK
438,AGPS
439,AGR2
440,AGR3
441,AGRN
442,AGRP
443,AGTPBP1
444,AGTR1
445,AGTR2
446,AGTRAP
447,AGT
448,ETNPPL
449,PHYKPL
450,AGXT2
451,AGXT
452,AHCTF1
453,AHCYL1
454,AHCYL2
455,AHCY
456,AHDC1
457,AHI1
458,AHNAK2
459,AHNAK
460,AHRR
461,AHR
462,AHSA1
463,AHSA2P
464,AHSG
465,AHSP
466,AICDA
467,AIDA
468,AIF1L
469,AIF1
470,AIFM1
471,AIFM2
472,AIFM3
473,AIG1
474,CRYBG2
475,CRYBG1
476,AIM2
477,AIMP1
478,AIMP2
479,AIPL1
480,AIP
481,AIRE
482,AJAP1
483,AK1
484,AK2
485,AK3___AK4
486,AK3
487,AK5
488,AK7
489,AKAP10
490,AKAP11
491,AKAP12
492,AKAP13
493,AKAP14
494,AKAP1
495,AKAP2
496,AKAP3
497,AKAP4
498,AKAP5
499,AKAP6
500,AKAP7
501,AKAP8L
502,AKAP8
503,AKAP9
504,AK9
505,AKIRIN1
506,AKIRIN2
507,AKNAD1
508,AKNA
509,AKR1A1
510,AKR1B10
511,AKR1B15
512,AKR1B1
513,AKR1C1
514,AKR1C2
515,AKR1C3
516,AKR1C4
517,AKR1C8P
518,AKR1D1
519,AKR1E2
520,AKR7A2
521,AKR7A3
522,AKR7L
523,AKT1S1
524,AKT1
525,AKT2
526,AKT3
527,AKTIP
528,ALAD
529,ALAS1
530,ALAS2
531,ALB
532,ALCAM
533,ALDH16A1
534,ALDH18A1
535,ALDH1A1
536,ALDH1A2
537,ALDH1A3
538,ALDH1B1
539,ALDH1L1
540,ALDH1L2
541,ALDH2
542,ALDH3A1
543,ALDH3A2
544,ALDH3B1
545,ALDH3B2
546,ALDH4A1
547,ALDH5A1
548,ALDH6A1
549,ALDH7A1
550,ALDH8A1
551,ALDH9A1
552,ALDOA
553,ALDOB
554,ALDOC
555,ALG10B
556,ALG10
557,ALG11
558,ALG12
559,ALG13
560,ALG14
561,ALG1L2
562,ALG1L
563,ALG1
564,ALG2
565,ALG3
566,ALG5
567,ALG6
568,ALG8
569,ALG9
570,ALKBH1
571,ALKBH2
572,ALKBH3
573,ALKBH4
574,ALKBH5
575,ALKBH6
576,ALKBH7
577,ALKBH8
578,ALK
579,ALLC
580,ALMS1P1
581,ALMS1
582,ALOX12B
583,ALOX12P2
584,ALOX12
585,ALOX15B
586,ALOX15
587,ALOX5AP
588,ALOX5
589,ALOXE3
590,ALPI
591,ALPK1
592,ALPK2
593,ALPK3
594,ALPL
595,ALPG
596,ALPP
597,ALS2CL
598,C2CD6
599,ALS2CR12
600,TMEM237
601,CARF
602,ALS2
603,ALX1
604,ALX3
605,ALX4
606,SLC35G5
607,SLC35G6
608,SLC35G3
609,AMACR
610,AMBN
611,AMBP
612,AMBRA1
613,AMD1
614,AMDHD1
615,AMDHD2
616,AMELX
617,AMELY
618,AMFR
619,AMHR2
620,AMH
621,JAML
622,AMIGO1
623,AMIGO2
624,AMIGO3
625,AMMECR1L
626,AMMECR1
627,AMN1
628,AMN
629,AMOTL1
630,AMOTL2
631,AMOT
632,AMPD1
633,AMPD2
634,AMPD3
635,AMPH
636,AMTN
637,AMT
638,AMY1A
639,AMY2A
640,AMY2B
641,AMZ1
642,AMZ2P1
643,AMZ2
644,ANAPC10
645,ANAPC11
646,ANAPC13
647,ANAPC16
648,ANAPC1
649,ANAPC2
650,ANAPC4
651,ANAPC5
652,ANAPC7
653,ANGEL1
654,ANGEL2
655,ANGPT1
656,ANGPT2
657,ANGPT4
658,ANGPTL1
659,ANGPTL2
660,ANGPTL3
661,ANGPTL4
662,ANGPTL5
663,ANGPTL6
664,ANGPTL7
665,ANG
666,ANK1
667,ANK2
668,ANK3
669,ANKAR
670,ANKDD1A
671,ANKFN1
672,ANKFY1
673,ANKHD1-EIF4EBP3
674,ANKHD1
675,ANKH
676,ANKIB1
677,ANKK1
678,ANKLE1
679,ANKLE2
680,ANKMY1
681,ANKMY2
682,ANKRA2
683,ANKRD10
684,ANKRD11
685,ANKRD12
686,ANKRD13A
687,ANKRD13B
688,ANKRD13C
689,ANKRD13D
690,ANKRD16
691,ANKRD17
692,ANKRD19P
693,ANKRD1
694,ANKRD20A3
695,ANKRD20A4
696,ANKRD20A8P
697,ANKRD22
698,ANKRD23
699,ANKRD24
700,ANKRD26P1
701,ANKRD26
702,ANKRD27
703,ANKRD28
704,ANKRD29
705,ANKRD2
706,ANKRD30A
707,ANKRD30B
708,ANKRD31
709,SLF1
710,ANKRD33
711,ANKRD34A
712,ANKRD34B
713,ANKRD34C
714,ANKRD35
715,ANKRD36BP1
716,ANKRD36B
717,ANKRD36
718,ANKRD37
719,ANKRD39
720,ANKRD40
721,ANKRD42
722,SOWAHA
723,ANKRD44
724,ANKRD45
725,ANKRD46
726,ANKRD49
727,ANKRD50
728,ANKRD52
729,ANKRD53
730,ANKRD54
731,ANKRD55
732,SOWAHB
733,SOWAHC
734,SOWAHD
735,ANKEF1
736,ANKRD6
737,ANKRD7
738,ANKRD9
739,ANKS1A
740,ANKS1B
741,ANKS3
742,ANKS4B
743,ANKS6
744,ANKZF1
745,ANLN
746,ANO10
747,ANO1
748,ANO2
749,ANO3
750,ANO4
751,ANO5
752,ANO6
753,ANO7
754,ANO8
755,ANO9
756,ANP32A
757,ANP32B
758,ANP32C
759,ANP32D
760,ANP32E
761,ANPEP
762,ANTXR1
763,ANTXR2
764,ANTXRL
765,ZFAND4
766,ANXA10
767,ANXA11
768,ANXA13
769,ANXA1
770,ANXA2P1
771,ANXA2P2
772,ANXA2P3
773,ANXA2
774,ANXA3
