,0
0,1
1,1
2,0
3,1
4,1
5,0
6,1
7,1
8,1
9,0
10,1
11,1
12,1
13,0
14,1
15,1
16,1
17,1
18,0
19,1
20,1
21,1
22,0
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,0
42,1
43,1
44,0
45,1
46,0
47,1
48,0
49,1
50,0
51,1
52,0
53,1
54,0
55,1
56,0
57,1
58,0
59,1
60,0
61,1
62,0
63,1
64,0
65,1
66,0
67,1
68,0
69,1
70,0
71,1
72,0
73,1
74,0
75,1
76,0
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,0
89,1
90,1
